,time,open,high,low,close,volume
0,7/9/2014,2.29,2.29,2.27,2.27,829520
1,7/10/2014,2.27,2.27,2.23,2.26,1341170
2,7/11/2014,2.26,2.26,2.23,2.26,656130
3,7/14/2014,2.26,2.26,2.24,2.26,192510
4,7/15/2014,2.29,2.29,2.26,2.27,2059270
5,7/16/2014,2.31,2.31,2.27,2.27,3648470
6,7/17/2014,2.27,2.27,2.26,2.26,789300
7,7/18/2014,2.26,2.27,2.24,2.27,1117290
8,7/21/2014,2.27,2.27,2.26,2.26,1119410
9,7/22/2014,2.26,2.26,2.24,2.24,621310
10,7/23/2014,2.26,2.26,2.24,2.26,1360370
11,7/24/2014,2.24,2.27,2.24,2.24,802810
12,7/25/2014,2.26,2.27,2.24,2.24,878970
13,7/28/2014,2.24,2.26,2.19,2.21,1671430
14,7/29/2014,2.19,2.23,2.19,2.21,1431610
15,7/30/2014,2.21,2.23,2.18,2.19,700320
16,7/31/2014,2.19,2.21,2.19,2.21,500800
17,8/1/2014,2.21,2.21,2.18,2.19,685330
18,8/4/2014,2.19,2.21,2.18,2.19,534420
19,8/5/2014,2.21,2.23,2.19,2.23,496230
20,8/6/2014,2.23,2.24,2.21,2.21,1214560
21,8/7/2014,2.21,2.24,2.21,2.24,487940
22,8/8/2014,2.24,2.24,2.23,2.23,705790
23,8/11/2014,2.23,2.24,2.21,2.24,1010680
24,8/12/2014,2.23,2.24,2.23,2.24,855180
25,8/13/2014,2.23,2.24,2.21,2.23,1092510
26,8/14/2014,2.23,2.24,2.21,2.24,1775270
27,8/15/2014,2.23,2.24,2.23,2.23,860100
28,8/18/2014,2.23,2.23,2.21,2.23,1048380
29,8/19/2014,2.23,2.26,2.23,2.23,1511720
30,8/20/2014,2.23,2.24,2.23,2.24,896570
31,8/21/2014,2.24,2.26,2.23,2.23,1256740
32,8/22/2014,2.24,2.26,2.23,2.24,915930
33,8/25/2014,2.26,2.27,2.24,2.26,1591520
34,8/26/2014,2.26,2.26,2.24,2.26,1441620
35,8/27/2014,2.26,2.26,2.24,2.24,1066870
36,8/28/2014,2.24,2.26,2.23,2.26,879100
37,8/29/2014,2.26,2.32,2.24,2.27,2305480
38,9/3/2014,2.32,2.36,2.31,2.32,2041490
39,9/4/2014,2.31,2.32,2.29,2.31,1161280
40,9/5/2014,2.31,2.32,2.29,2.31,1062560
41,9/8/2014,2.32,2.32,2.29,2.29,1400480
42,9/9/2014,2.29,2.31,2.24,2.26,3348570
43,9/10/2014,2.29,2.31,2.26,2.29,1992660
44,9/11/2014,2.29,2.31,2.28,2.29,648110
45,9/12/2014,2.28,2.31,2.28,2.29,1193580
46,9/15/2014,2.29,2.31,2.28,2.28,692730
47,9/16/2014,2.28,2.28,2.24,2.28,1272580
48,9/17/2014,2.28,2.29,2.28,2.29,1661530
49,9/18/2014,2.28,2.29,2.26,2.28,1172170
50,9/19/2014,2.26,2.28,2.24,2.26,587840
51,9/22/2014,2.26,2.28,2.24,2.24,385040
52,9/23/2014,2.24,2.28,2.24,2.26,594530
53,9/24/2014,2.26,2.28,2.26,2.28,399700
54,9/25/2014,2.26,2.28,2.26,2.28,924500
55,9/26/2014,2.28,2.29,2.26,2.28,743090
56,9/29/2014,2.28,2.29,2.26,2.26,720550
57,9/30/2014,2.26,2.29,2.26,2.28,506940
58,10/1/2014,2.28,2.29,2.26,2.28,1116460
59,10/2/2014,2.28,2.31,2.28,2.29,1497020
60,10/3/2014,2.29,2.31,2.28,2.28,951560
61,10/6/2014,2.29,2.33,2.28,2.31,1210030
62,10/7/2014,2.31,2.33,2.29,2.29,244930
63,10/8/2014,2.29,2.31,2.28,2.29,850870
64,10/9/2014,2.31,2.31,2.28,2.29,506090
65,10/10/2014,2.29,2.29,2.28,2.29,390090
66,10/13/2014,2.33,2.36,2.31,2.34,3493510
67,10/14/2014,2.36,2.36,2.31,2.31,709110
68,10/15/2014,2.31,2.34,2.31,2.34,1238560
69,10/16/2014,2.33,2.33,2.29,2.33,1622410
70,10/17/2014,2.31,2.34,2.28,2.34,1417160
71,10/20/2014,2.33,2.34,2.31,2.31,669830
72,10/21/2014,2.33,2.34,2.31,2.33,687720
73,10/22/2014,2.34,2.36,2.33,2.33,1330620
74,10/23/2014,2.33,2.34,2.31,2.31,950980
75,10/24/2014,2.31,2.33,2.31,2.33,684000
76,10/27/2014,2.31,2.33,2.29,2.33,880090
77,10/28/2014,2.31,2.33,2.31,2.33,965920
78,10/29/2014,2.38,2.38,2.31,2.36,693260
79,10/30/2014,2.36,2.36,2.31,2.31,1607720
80,10/31/2014,2.31,2.34,2.29,2.34,1745330
81,11/3/2014,2.34,2.34,2.33,2.33,567520
82,11/4/2014,2.33,2.33,2.31,2.33,157210
83,11/5/2014,2.33,2.33,2.29,2.31,382670
84,11/6/2014,2.31,2.33,2.29,2.31,282990
85,11/7/2014,2.31,2.34,2.29,2.33,771530
86,11/10/2014,2.34,2.34,2.31,2.31,593510
87,11/11/2014,2.33,2.33,2.31,2.33,448120
88,11/12/2014,2.33,2.34,2.31,2.33,655920
89,11/13/2014,2.33,2.33,2.31,2.33,254930
90,11/14/2014,2.33,2.33,2.31,2.33,924730
91,11/17/2014,2.33,2.34,2.31,2.33,1190880
92,11/18/2014,2.33,2.33,2.31,2.31,556570
93,11/19/2014,2.31,2.33,2.29,2.29,890200
94,11/20/2014,2.31,2.31,2.27,2.27,1298520
95,11/21/2014,2.27,2.29,2.26,2.27,1829610
96,11/24/2014,2.26,2.27,2.24,2.24,823180
97,11/25/2014,2.26,2.27,2.24,2.26,616160
98,11/26/2014,2.26,2.27,2.24,2.24,796700
99,11/27/2014,2.24,2.26,2.22,2.22,457370
100,11/28/2014,2.26,2.26,2.22,2.26,359060
101,12/1/2014,2.24,2.26,2.24,2.24,327030
102,12/2/2014,2.24,2.26,2.22,2.24,349130
103,12/3/2014,2.26,2.29,2.24,2.27,593850
104,12/4/2014,2.27,2.38,2.26,2.34,2000810
105,12/5/2014,2.36,2.36,2.31,2.34,720610
106,12/8/2014,2.33,2.33,2.29,2.31,558640
107,12/9/2014,2.31,2.31,2.26,2.27,1427680
108,12/10/2014,2.27,2.29,2.26,2.27,1252100
109,12/11/2014,2.27,2.34,2.26,2.31,1505680
110,12/12/2014,2.31,2.33,2.29,2.29,1018370
111,12/15/2014,2.27,2.31,2.27,2.29,357340
112,12/16/2014,2.29,2.29,2.26,2.26,733210
113,12/17/2014,2.27,2.29,2.2,2.24,1527770
114,12/18/2014,2.24,2.27,2.24,2.26,479680
115,12/19/2014,2.27,2.27,2.24,2.24,607190
116,12/22/2014,2.24,2.27,2.24,2.26,344370
117,12/23/2014,2.26,2.29,2.26,2.27,1077860
118,12/24/2014,2.29,2.33,2.27,2.29,697550
119,12/25/2014,2.29,2.31,2.29,2.29,460540
120,12/26/2014,2.29,2.29,2.27,2.27,405990
121,12/29/2014,2.29,2.29,2.26,2.26,678590
122,12/30/2014,2.27,2.27,2.24,2.26,631620
123,12/31/2014,2.27,2.31,2.26,2.31,759120
124,1/5/2015,2.31,2.31,2.29,2.29,338650
125,1/6/2015,2.29,2.38,2.29,2.36,2865710
126,1/7/2015,2.38,2.43,2.36,2.38,2235000
127,1/8/2015,2.38,2.43,2.38,2.4,853040
128,1/9/2015,2.4,2.54,2.4,2.52,6690100
129,1/12/2015,2.55,2.59,2.5,2.5,6457090
130,1/13/2015,2.48,2.57,2.48,2.55,4780930
131,1/14/2015,2.54,2.57,2.48,2.52,3092460
132,1/15/2015,2.52,2.57,2.5,2.52,4482110
133,1/16/2015,2.5,2.52,2.47,2.47,2857070
134,1/19/2015,2.52,2.54,2.45,2.47,2836560
135,1/20/2015,2.47,2.52,2.47,2.48,2257840
136,1/21/2015,2.5,2.5,2.45,2.45,1816290
137,1/22/2015,2.45,2.55,2.43,2.54,6014660
138,1/23/2015,2.57,2.63,2.55,2.57,7613160
139,1/26/2015,2.59,2.61,2.55,2.57,1644100
140,1/27/2015,2.55,2.59,2.48,2.52,5627480
141,1/28/2015,2.5,2.66,2.48,2.63,8560780
142,1/29/2015,2.63,2.64,2.55,2.61,5333100
143,1/30/2015,2.57,2.59,2.48,2.5,3655070
144,2/2/2015,2.5,2.52,2.47,2.47,2831770
145,2/3/2015,2.47,2.48,2.34,2.34,4790370
146,2/4/2015,2.34,2.4,2.31,2.38,3785470
147,2/5/2015,2.38,2.41,2.38,2.4,1044340
148,2/6/2015,2.4,2.43,2.38,2.43,1218610
149,2/9/2015,2.43,2.47,2.41,2.45,2101760
150,2/10/2015,2.47,2.5,2.45,2.47,1683640
151,2/11/2015,2.47,2.48,2.47,2.48,815550
152,2/12/2015,2.48,2.48,2.45,2.47,1168750
153,2/13/2015,2.48,2.5,2.45,2.45,1071360
154,2/24/2015,2.47,2.52,2.47,2.5,1363550
155,2/25/2015,2.54,2.55,2.48,2.48,2674400
156,2/26/2015,2.5,2.52,2.48,2.52,1405810
157,2/27/2015,2.52,2.52,2.47,2.48,883710
158,3/2/2015,2.47,2.5,2.45,2.47,1396710
159,3/3/2015,2.47,2.5,2.47,2.48,1280240
160,3/4/2015,2.48,2.48,2.45,2.48,1161150
161,3/5/2015,2.47,2.48,2.45,2.45,1523640
162,3/6/2015,2.47,2.48,2.45,2.47,1162530
163,3/9/2015,2.47,2.48,2.45,2.45,1529560
164,3/10/2015,2.45,2.47,2.45,2.45,837490
165,3/11/2015,2.45,2.47,2.43,2.45,824160
166,3/12/2015,2.45,2.47,2.43,2.45,1310200
167,3/13/2015,2.45,2.48,2.45,2.45,710190
