,time,open,high,low,close,volume
0,2014-07-13,2.29,2.29,2.23,2.26,2826820
1,2014-07-20,2.26,2.31,2.24,2.27,7806840
2,2014-07-27,2.27,2.27,2.24,2.24,4782870
3,2014-08-03,2.24,2.26,2.18,2.19,4989490
4,2014-08-10,2.19,2.24,2.18,2.23,3438940
5,2014-08-17,2.23,2.24,2.21,2.23,5593740
6,2014-08-24,2.23,2.26,2.21,2.24,5629340
7,2014-08-31,2.26,2.32,2.23,2.27,7284590
8,2014-09-07,2.32,2.36,2.29,2.31,4265330
9,2014-09-14,2.32,2.32,2.24,2.29,8583400
10,2014-09-21,2.29,2.31,2.24,2.26,5386850
11,2014-09-28,2.26,2.29,2.24,2.28,3046860
12,2014-10-05,2.28,2.31,2.26,2.28,4792530
13,2014-10-12,2.29,2.33,2.28,2.29,3202010
14,2014-10-19,2.33,2.36,2.28,2.34,8480750
15,2014-10-26,2.33,2.36,2.31,2.33,4323150
16,2014-11-02,2.31,2.38,2.29,2.34,5892320
17,2014-11-09,2.34,2.34,2.29,2.33,2161920
18,2014-11-16,2.34,2.34,2.31,2.33,2877210
19,2014-11-23,2.33,2.34,2.26,2.27,5765780
20,2014-11-30,2.26,2.27,2.22,2.26,3052470
21,2014-12-07,2.24,2.38,2.22,2.34,3991430
22,2014-12-14,2.33,2.34,2.26,2.29,5762470
23,2014-12-21,2.27,2.31,2.2,2.24,3705190
24,2014-12-28,2.24,2.33,2.24,2.27,2986310
25,2015-01-04,2.29,2.31,2.24,2.31,2069330
26,2015-01-11,2.31,2.54,2.29,2.52,12982500
27,2015-01-18,2.55,2.59,2.47,2.47,21669660
28,2015-01-25,2.52,2.63,2.43,2.57,20538510
29,2015-02-01,2.59,2.66,2.48,2.5,24820530
30,2015-02-08,2.5,2.52,2.31,2.43,13670560
31,2015-02-15,2.43,2.5,2.41,2.45,6841060
32,2015-02-22,,,,,0
33,2015-03-01,2.47,2.55,2.47,2.48,6327470
34,2015-03-08,2.47,2.5,2.45,2.47,6524270
35,2015-03-15,2.47,2.48,2.43,2.45,5211600
36,2015-03-22,2.45,2.45,2.4,2.41,4173860
37,2015-03-29,2.41,2.45,2.4,2.41,4242570
38,2015-04-05,2.43,2.43,2.36,2.38,3209200
39,2015-04-12,2.38,2.43,2.36,2.41,3482320
40,2015-04-19,2.41,2.43,2.38,2.41,3302850
41,2015-04-26,2.41,2.41,2.38,2.4,1760380
42,2015-05-03,2.41,2.45,2.4,2.43,1172480
43,2015-05-10,2.41,2.41,2.34,2.38,3252900
44,2015-05-17,2.38,2.38,2.31,2.31,1322040
45,2015-05-24,2.31,2.38,2.27,2.36,2538100
46,2015-05-31,2.34,2.52,2.34,2.43,11900700
47,2015-06-07,2.47,2.55,2.41,2.45,13970920
48,2015-06-14,2.47,2.48,2.41,2.45,9592150
49,2015-06-21,2.47,2.73,2.47,2.64,32830100
50,2015-06-28,2.64,2.84,2.64,2.68,25863380
51,2015-07-05,2.66,2.8,2.61,2.71,27175650
52,2015-07-12,2.73,2.89,2.68,2.87,48881190
53,2015-07-19,2.91,2.98,2.8,2.82,35076680
54,2015-07-26,2.8,2.92,2.77,2.87,30795070
55,2015-08-02,2.89,2.91,2.78,2.78,22016130
56,2015-08-09,2.77,2.87,2.71,2.82,25709450
57,2015-08-16,2.82,2.87,2.68,2.71,19322660
58,2015-08-23,2.76,2.8,2.54,2.61,15907170
59,2015-08-30,2.58,2.65,2.4,2.65,18587730
60,2015-09-06,2.65,2.65,2.56,2.6,6392150
61,2015-09-13,2.61,2.8,2.6,2.76,14329200
62,2015-09-20,2.8,2.87,2.76,2.79,9759930
63,2015-09-27,2.87,2.89,2.83,2.85,17668630
64,2015-10-04,2.85,2.89,2.76,2.85,8041420
65,2015-10-11,2.83,2.93,2.79,2.79,20026430
66,2015-10-18,2.78,2.81,2.72,2.76,10999030
67,2015-10-25,2.76,2.76,2.64,2.7,7409190
68,2015-11-01,2.68,2.72,2.61,2.7,6965140
69,2015-11-08,2.72,2.74,2.64,2.66,5355080
70,2015-11-15,2.66,2.81,2.66,2.79,11975320
71,2015-11-22,2.78,2.79,2.72,2.74,6850500
72,2015-11-29,2.74,2.76,2.68,2.68,4711190
73,2015-12-06,2.68,2.68,2.64,2.66,2883840
74,2015-12-13,2.64,2.66,2.61,2.63,3326900
75,2015-12-20,2.63,2.68,2.63,2.64,2342820
76,2015-12-27,2.64,2.66,2.61,2.63,2114880
77,2016-01-03,2.63,2.74,2.61,2.74,4554490
78,2016-01-10,2.7,2.7,2.57,2.59,2431550
79,2016-01-17,2.59,2.63,2.55,2.57,1909970
80,2016-01-24,2.55,2.55,2.46,2.55,4580820
81,2016-01-31,2.57,2.74,2.57,2.7,9489350
82,2016-02-07,2.72,2.78,2.66,2.76,4780930
83,2016-02-14,,,,,0
84,2016-02-21,2.81,2.93,2.78,2.91,26193460
85,2016-02-28,2.93,2.94,2.79,2.81,25402340
86,2016-03-06,2.81,2.85,2.72,2.81,11948680
87,2016-03-13,2.79,2.81,2.76,2.79,6349380
88,2016-03-20,2.79,2.79,2.74,2.78,4889340
89,2016-03-27,2.76,2.78,2.72,2.74,4038680
90,2016-04-03,2.74,2.74,2.63,2.64,4213290
